,index,timePeriod,sentiment
5618,6679,1810-01-01,0.12
5625,2513,1810-01-01,0.288
5644,6250,1810-01-01,0.293
5682,2854,1810-01-01,0.292
5684,7411,1810-01-01,0.343
5715,6958,1810-01-01,0.0
5724,1384,1810-01-01,0.0
5750,4622,1810-01-01,0.075
5752,4803,1810-01-01,0.0
5772,3003,1810-01-01,0.189
5787,272,1810-01-01,0.19
5789,8629,1810-01-01,0.26
5806,5901,1810-01-01,0.227
5812,4168,1810-01-01,0.0
5814,3741,1810-01-01,0.32
5817,1653,1810-01-01,0.258
5820,6208,1810-01-01,0.0
5828,8002,1810-01-01,0.372
5842,5442,1810-01-01,0.19
5847,7688,1810-01-01,0.211
5850,4988,1810-01-01,0.056
5868,3927,1810-01-01,0.278
5873,2480,1810-01-01,0.279
5888,4817,1810-01-01,0.231
5897,9367,1810-01-01,0.131
5917,5628,1810-01-01,0.245
5941,6470,1810-01-01,0.0
5943,3889,1810-01-01,0.484
5953,5326,1810-01-01,0.0
5956,2297,1810-01-01,0.08
6012,5548,1810-01-01,0.104
6031,3745,1810-01-01,0.0
6055,6204,1810-01-01,0.0
6061,2295,1810-01-01,0.0
6072,3903,1810-01-01,0.0
6120,7481,1810-01-01,0.294
6191,5789,1810-01-01,0.0
6209,2651,1810-01-01,0.0
6231,3052,1810-01-01,0.12
6266,4182,1810-01-01,0.22
6277,4710,1810-01-01,0.189
6286,4985,1810-01-01,0.0
6312,7875,1810-01-01,0.326
6328,847,1810-01-01,0.0
6343,2525,1810-01-01,0.284
6366,5218,1810-01-01,0.304
6378,2124,1810-01-01,0.268
6386,8331,1810-01-01,0.495
6402,9336,1810-01-01,0.0
6407,1549,1810-01-01,0.325
6410,543,1810-01-01,0.091
6429,579,1810-01-01,0.347
6433,4430,1810-01-01,0.364
6453,4416,1810-01-01,0.253
6458,3364,1810-01-01,0.0
6460,1863,1810-01-01,0.0
6480,2722,1810-01-01,0.068
6500,8861,1810-01-01,0.235
6501,5629,1810-01-01,0.0
6519,5217,1810-01-01,0.261
6536,6629,1810-01-01,0.0
6566,4753,1810-01-01,0.24
6569,6374,1810-01-01,0.175
6590,9178,1810-01-01,0.338
6601,2826,1810-01-01,0.0
6624,6780,1810-01-01,0.0
6642,4826,1810-01-01,0.312
6643,6623,1810-01-01,0.347
6652,4376,1810-01-01,0.0
6656,55,1810-01-01,0.385
6665,5623,1810-01-01,0.225
6725,4943,1810-01-01,0.0
6732,2014,1810-01-01,0.262
6748,196,1810-01-01,0.174
6751,256,1810-01-01,0.256
6761,3127,1810-01-01,0.191
6774,5706,1810-01-01,0.375
6777,1885,1810-01-01,0.238
6809,2234,1810-01-01,0.0
6812,7583,1810-01-01,0.182
6818,41,1810-01-01,0.077
6829,203,1810-01-01,0.146
6841,3536,1810-01-01,0.486
6858,8968,1810-01-01,0.135
6879,8534,1810-01-01,0.403
6898,6910,1810-01-01,0.265
6899,2958,1810-01-01,0.075
6904,6754,1810-01-01,0.0
6907,7784,1810-01-01,0.235
6909,7628,1810-01-01,0.0
6912,9645,1810-01-01,0.0
6914,5448,1810-01-01,0.0
6926,5607,1820-01-01,0.0
6934,3386,1820-01-01,0.0
6940,6377,1820-01-01,0.123
6945,7073,1820-01-01,0.0
6946,2685,1820-01-01,0.0
6955,2671,1820-01-01,0.0
6972,5026,1820-01-01,0.0
6981,4404,1820-01-01,0.294
6983,7123,1820-01-01,0.0
6996,8930,1820-01-01,0.0
6997,8179,1820-01-01,0.19
7001,6202,1820-01-01,0.167
7004,5950,1820-01-01,0.0
7020,1977,1820-01-01,0.0
